,Month,Day,AAPL,TSLA,TotalCorrelation,MonthlyCorrelation
0,2022-11,7,137.0489959716797,198.9149932861328,0.4646696437033784,0.8787568960551453
10,2022-10,31,153.08604431152344,227.5399932861328,0.4646696437033784,0.2511099658940168
52,2022-09,30,137.9711151123047,265.25,0.4646696437033784,0.5420897716822464
94,2022-08,31,156.95962524414062,275.6099853515625,0.4646696437033784,0.6382712889729818
140,2022-07,29,162.01580810546875,297.1499938964844,0.4646696437033784,0.9300253163168026
180,2022-06,30,136.3042449951172,224.47332763671875,0.4646696437033784,0.8399458233986907
222,2022-05,31,148.38739013671875,252.75332641601562,0.4646696437033784,0.9528771616900129
264,2022-04,29,156.94000244140625,290.2533264160156,0.4646696437033784,0.9157900194195836
304,2022-03,31,173.82363891601562,359.20001220703125,0.4646696437033784,0.9512842594329363
350,2022-02,28,164.37637329101562,290.1433410644531,0.4646696437033784,0.943995685886259
388,2022-01,31,173.77146911621094,312.239990234375,0.4646696437033784,0.8008026249435511
428,2021-12,31,176.54537963867188,352.260009765625,0.4646696437033784,0.139769422776439
472,2021-11,30,164.34617614746094,381.586669921875,0.4646696437033784,0.0915470392022788
514,2021-10,29,148.7185516357422,371.3333435058594,0.4646696437033784,0.8399036830513671
556,2021-09,30,140.47848510742188,258.49334716796875,0.4646696437033784,-0.453398085781483
598,2021-08,31,150.73390197753906,245.24000549316406,0.4646696437033784,0.1973596225566201
642,2021-07,30,144.59036254882812,229.06666564941406,0.4646696437033784,-0.4107076320753291
684,2021-06,30,135.76785278320312,226.56666564941406,0.4646696437033784,0.8240708843079356
728,2021-05,28,123.52532958984375,208.4066619873047,0.4646696437033784,0.7331179425869396
768,2021-04,30,130.09474182128906,236.47999572753906,0.4646696437033784,0.6524815654962932
810,2021-03,31,120.88143920898438,222.64332580566406,0.4646696437033784,0.7433679244480222
856,2021-02,26,120.00067901611328,225.1666717529297,0.4646696437033784,0.943890680387311
894,2021-01,29,130.39471435546875,264.510009765625,0.4646696437033784,0.53108325042888
932,2020-12,31,131.11602783203125,235.22332763671875,0.4646696437033784,0.7074900682797278
976,2020-11,30,117.6378402709961,189.1999969482422,0.4646696437033784,0.02354776411283277
1016,2020-10,30,107.3834457397461,129.34666442871094,0.4646696437033784,0.869665961980326
1060,2020-09,30,114.23917388916016,143.00332641601562,0.4646696437033784,0.38952237029544423
1102,2020-08,31,127.28971099853516,166.10667419433594,0.4646696437033784,0.934662837758143
1144,2020-07,31,104.63007354736328,95.38400268554688,0.4646696437033784,0.48482194279195934
1188,2020-06,30,89.80106353759766,71.98733520507812,0.4646696437033784,0.8490537291222511
1232,2020-05,29,78.2657699584961,55.66666793823242,0.4646696437033784,0.9142652599965093
1272,2020-04,30,72.12808990478516,52.12533187866211,0.4646696437033784,0.9230945852558294
1314,2020-03,31,62.42835998535156,34.93333435058594,0.4646696437033784,0.9088589060342676
1358,2020-02,28,67.11004638671875,44.53266525268555,0.4646696437033784,0.47068697979660756
1396,2020-01,31,75.80500030517578,43.371334075927734,0.4646696437033784,0.7334963938889683
1438,2019-12,31,71.92057037353516,27.8886661529541,0.4646696437033784,0.9389663963172528
1480,2019-11,29,65.4547119140625,21.996000289916992,0.4646696437033784,0.596463397238189
1520,2019-10,31,60.7437744140625,20.994667053222656,0.4646696437033784,0.8269366862858605
1566,2019-09,30,54.69039535522461,16.058000564575195,0.4646696437033784,0.7731892816498886
1606,2019-08,30,50.971439361572266,15.040666580200195,0.4646696437033784,-0.20906693384015007
1650,2019-07,31,51.82453155517578,16.107332229614258,0.4646696437033784,0.2889602674966034
1694,2019-06,28,48.14641571044922,14.897333145141602,0.4646696437033784,0.949532053477883
1734,2019-05,31,42.58787536621094,12.343999862670898,0.4646696437033784,0.9214739775039342
1778,2019-04,30,48.628116607666016,15.912667274475098,0.4646696437033784,-0.664011722767776
1820,2019-03,29,46.03036117553711,18.657333374023438,0.4646696437033784,-0.5517766083119077
1862,2019-02,28,41.959232330322266,21.325332641601562,0.4646696437033784,-0.049746451644906764
1900,2019-01,31,40.16096496582031,20.468000411987305,0.4646696437033784,-0.18957079134634958
1942,2018-12,31,38.06170654296875,22.18666648864746,0.4646696437033784,0.8378518415492238
1980,2018-11,30,43.090267181396484,23.365333557128906,0.4646696437033784,0.2353204566303051
2022,2018-10,31,52.62596893310547,22.488000869750977,0.4646696437033784,-0.15043437820795835
2068,2018-09,28,54.28030014038086,17.65133285522461,0.4646696437033784,-0.28045764777960003
2106,2018-08,31,54.73475646972656,20.110666275024414,0.4646696437033784,-0.6847733753732794
2152,2018-07,31,45.59626007080078,19.875999450683594,0.4646696437033784,-0.1894444451166033
2194,2018-06,29,44.35506057739258,22.863332748413086,0.4646696437033784,-0.4878111973050737
2236,2018-05,31,44.77677917480469,18.98200035095215,0.4646696437033784,-0.29068190323037846
2280,2018-04,30,39.44660949707031,19.593332290649414,0.4646696437033784,0.3874726755867761
2322,2018-03,29,40.04810333251953,17.742000579833984,0.4646696437033784,0.8335801088911943
2364,2018-02,28,42.516204833984375,22.87066650390625,0.4646696437033784,0.6309779881453346
2402,2018-01,31,39.80228805541992,23.62066650390625,0.4646696437033784,0.04967815790039798
2444,2017-12,29,40.23019027709961,20.75666618347168,0.4646696437033784,0.7430190845126754
2484,2017-11,30,40.85303497314453,20.59000015258789,0.4646696437033784,-0.08169428498701892
